sensor_index,last_seen,name,location_type,latitude,longitude,last_seen_utc,age_days,active_7d,active_30d,province
266614,1780040902,Pit 8 PRM2(new2025),0,49.235546,-105.29647,2026-05-29 07:48:22+00:00,0.0009497333449074075,True,True,SK
272918,1780040935,Shaunavon Public School,0,49.64833,-108.412155,2026-05-29 07:48:55+00:00,0.0005677889004629629,True,True,SK
273087,1780040912,Frontier School,0,49.20535,-108.56434,2026-05-29 07:48:32+00:00,0.0008339926041666667,True,True,SK
273081,1780023358,Gull Lake School,0,50.09238,-108.478874,2026-05-29 02:55:58+00:00,0.20400528890046293,True,True,SK
13089,1780040863,East Regina,0,50.44632,-104.40226,2026-05-29 07:47:43+00:00,0.0014011222337962962,True,True,SK
278055,1780040906,Aberdeen,0,52.32907,-106.28809,2026-05-29 07:48:26+00:00,0.0009034370486111111,True,True,SK
279087,1780040870,Avonlea,0,50.01725,-105.05532,2026-05-29 07:47:50+00:00,0.0013201037152777778,True,True,SK
280276,1780040835,"Olive Grove, Regina SK",0,50.425274,-104.53042,2026-05-29 07:47:15+00:00,0.0017251963078703703,True,True,SK
280344,1780040846,Holy Trinity Catholic School Division Board Office,0,50.3942,-105.49968,2026-05-29 07:47:26+00:00,0.0015978814930555556,True,True,SK
284246,1780040919,#4 Exploration,0,54.640182,-102.830734,2026-05-29 07:48:39+00:00,0.0007529740856481482,True,True,SK
284296,1780040905,#2_Comms Tower Sea Can,0,54.62586,-102.815796,2026-05-29 07:48:25+00:00,0.0009150111226851852,True,True,SK
287588,1780040840,AQSU-Parks Canada Ops,0,49.24228,-107.7334,2026-05-29 07:47:20+00:00,0.0016673259375,True,True,SK
288558,1780040932,Whitecap Dakota Nation,0,51.876564,-106.71199,2026-05-29 07:48:52+00:00,0.0006025111226851852,True,True,SK
288554,1780040936,Kinistin Saulteaux Nation,0,52.609673,-104.21893,2026-05-29 07:48:56+00:00,0.0005562148263888889,True,True,SK
291698,1780040895,Muskoday First Nation,0,53.089066,-105.49045,2026-05-29 07:48:15+00:00,0.001030751863425926,True,True,SK
31411,1780040903,SPSA Radio Technical Services,0,53.19702,-105.7409,2026-05-29 07:48:23+00:00,0.0009381592708333333,True,True,SK
35205,1780040928,Indian Head,0,50.530582,-103.67302,2026-05-29 07:48:48+00:00,0.0006488074189814815,True,True,SK
37889,1780040885,AQSU-3317,0,51.49611,-107.0625,2026-05-29 07:48:05+00:00,0.0011464926041666666,True,True,SK
39067,1780040875,Flying Dust First Nation - MLTC,0,54.135418,-108.40431,2026-05-29 07:47:55+00:00,0.0012622333449074075,True,True,SK
307488,1780040903,Nipawin Youth Soccer,0,53.35931,-103.99583,2026-05-29 07:48:23+00:00,0.0009381592708333333,True,True,SK
312345,1779808910,Balgonie Elementary,0,50.48896,-104.26845,2026-05-26 15:21:50+00:00,2.6860423259375,True,True,SK
80139,1780040937,La Plonge - ERFN - MLTC Monitor,0,55.16035,-107.582375,2026-05-29 07:48:57+00:00,0.0005446407523148148,True,True,SK
80157,1780040890,Pelican Narrows,0,55.187683,-102.94493,2026-05-29 07:48:10+00:00,0.0010886222337962964,True,True,SK
80181,1780040858,Southend Health Centre Suite ^,0,56.323864,-103.24024,2026-05-29 07:47:38+00:00,0.0014589926041666667,True,True,SK
83945,1780040865,Warman,0,52.327534,-106.58253,2026-05-29 07:47:45+00:00,0.0013779740856481482,True,True,SK
83949,1780040910,Martensville,0,52.28792,-106.655334,2026-05-29 07:48:30+00:00,0.0008571407523148149,True,True,SK
83977,1780040849,Saskatoon East,0,52.104385,-106.615204,2026-05-29 07:47:29+00:00,0.0015631592708333334,True,True,SK
90265,1780040921,Buffalo River Dene Nation - MLTC,0,55.92818,-108.92564,2026-05-29 07:48:41+00:00,0.0007298259375,True,True,SK
94193,1780040851,Pelican Narrow,0,55.178722,-102.92746,2026-05-29 07:47:31+00:00,0.0015400111226851851,True,True,SK
95365,1779908491,Grandmothers Bay,0,55.625896,-104.71085,2026-05-27 19:01:31+00:00,1.5334844555671296,True,True,SK
95507,1780040887,La Ronge,0,55.099724,-105.29466,2026-05-29 07:48:07+00:00,0.0011233444560185186,True,True,SK
