sensor_index,last_seen,name,location_type,latitude,longitude,last_seen_utc,age_days,active_7d,active_30d,province
266614,1779861860,Pit 8 PRM2(new2025),0,49.235546,-105.29647,2026-05-27 06:04:20+00:00,0.0006536108564814814,True,True,SK
272918,1779861808,Shaunavon Public School,0,49.64833,-108.412155,2026-05-27 06:03:28+00:00,0.0012554627083333333,True,True,SK
273087,1779861859,Frontier School,0,49.20535,-108.56434,2026-05-27 06:04:19+00:00,0.0006651849305555556,True,True,SK
273081,1779861832,Gull Lake School,0,50.09238,-108.478874,2026-05-27 06:03:52+00:00,0.0009776849305555555,True,True,SK
13089,1779861789,East Regina,0,50.44632,-104.40226,2026-05-27 06:03:09+00:00,0.0014753701157407407,True,True,SK
278055,1779861840,Aberdeen,0,52.32907,-106.28809,2026-05-27 06:04:00+00:00,0.0008850923379629629,True,True,SK
279087,1779861780,Avonlea,0,50.01725,-105.05532,2026-05-27 06:03:00+00:00,0.0015795367824074074,True,True,SK
280276,1779861777,"Olive Grove, Regina SK",0,50.425274,-104.53042,2026-05-27 06:02:57+00:00,0.0016142590046296296,True,True,SK
280344,1779861779,Holy Trinity Catholic School Division Board Office,0,50.3942,-105.49968,2026-05-27 06:02:59+00:00,0.0015911108564814816,True,True,SK
284246,1779861871,#4 Exploration,0,54.640182,-102.830734,2026-05-27 06:04:31+00:00,0.0005262960416666666,True,True,SK
284296,1779861835,#2_Comms Tower Sea Can,0,54.62586,-102.815796,2026-05-27 06:03:55+00:00,0.0009429627083333333,True,True,SK
287588,1779861889,AQSU-Parks Canada Ops,0,49.24228,-107.7334,2026-05-27 06:04:49+00:00,0.0003179627083333333,True,True,SK
288558,1779861785,Whitecap Dakota Nation,0,51.876564,-106.71199,2026-05-27 06:03:05+00:00,0.0015216664120370372,True,True,SK
288554,1779861887,Kinistin Saulteaux Nation,0,52.609673,-104.21893,2026-05-27 06:04:47+00:00,0.0003411108564814815,True,True,SK
291698,1779861808,Muskoday First Nation,0,53.089066,-105.49045,2026-05-27 06:03:28+00:00,0.0012554627083333333,True,True,SK
31411,1779861863,SPSA Radio Technical Services,0,53.19702,-105.7409,2026-05-27 06:04:23+00:00,0.0006188886342592592,True,True,SK
35205,1779861784,Indian Head,0,50.530582,-103.67302,2026-05-27 06:03:04+00:00,0.0015332404861111112,True,True,SK
37889,1779861814,AQSU-3317,0,51.49611,-107.0625,2026-05-27 06:03:34+00:00,0.0011860182638888889,True,True,SK
39067,1779861879,Flying Dust First Nation - MLTC,0,54.135418,-108.40431,2026-05-27 06:04:39+00:00,0.00043370344907407406,True,True,SK
312345,1779808910,Balgonie Elementary,0,50.48896,-104.26845,2026-05-26 15:21:50+00:00,0.6135008330787037,True,True,SK
80139,1779861866,La Plonge - ERFN - MLTC Monitor,0,55.16035,-107.582375,2026-05-27 06:04:26+00:00,0.0005841664120370371,True,True,SK
80157,1779861811,Pelican Narrows,0,55.187683,-102.94493,2026-05-27 06:03:31+00:00,0.001220740486111111,True,True,SK
80181,1779861788,Southend Health Centre Suite ^,0,56.323864,-103.24024,2026-05-27 06:03:08+00:00,0.001486944189814815,True,True,SK
83949,1779861843,Martensville,0,52.28792,-106.655334,2026-05-27 06:04:03+00:00,0.0008503701157407407,True,True,SK
83977,1779861782,Saskatoon East,0,52.104385,-106.615204,2026-05-27 06:03:02+00:00,0.0015563886342592594,True,True,SK
94193,1779331944,Pelican Narrow,0,55.178722,-102.92746,2026-05-21 02:52:24+00:00,6.133940647893518,True,True,SK
95365,1779861811,Grandmothers Bay,0,55.625896,-104.71085,2026-05-27 06:03:31+00:00,0.001220740486111111,True,True,SK
95507,1779861812,La Ronge,0,55.099724,-105.29466,2026-05-27 06:03:32+00:00,0.0012091664120370369,True,True,SK
106306,1779861819,Hall Lake,0,55.11413,-105.91855,2026-05-27 06:03:39+00:00,0.0011281478935185184,True,True,SK
132901,1779861840,Weyburn Arenas,0,49.6659,-103.86062,2026-05-27 06:04:00+00:00,0.0008850923379629629,True,True,SK
134938,1779861856,NWR Weather,0,50.501785,-104.660446,2026-05-27 06:04:16+00:00,0.0006999071527777778,True,True,SK
136784,1779861825,Johnson Shoyama Graduate School of Public Policy — University of Regina,0,50.440098,-104.611,2026-05-27 06:03:45+00:00,0.001058703449074074,True,True,SK
137258,1779861785,AQSU-E4DB,0,49.669876,-103.17209,2026-05-27 06:03:05+00:00,0.0015216664120370372,True,True,SK
137774,1779861803,Poplar,0,52.118786,-106.671135,2026-05-27 06:03:23+00:00,0.0013133330787037036,True,True,SK
143522,1779275747,Saskatoon French School,0,52.1087,-106.692894,2026-05-20 11:15:47+00:00,6.784368888634259,True,True,SK
143688,1779861878,St. Joseph High School,0,52.14765,-106.583755,2026-05-27 06:04:38+00:00,0.0004452775231481482,True,True,SK
145074,1779861854,Dalmeny Downtown,0,52.340893,-106.773705,2026-05-27 06:04:14+00:00,0.0007230553009259259,True,True,SK
149618,1779861839,NWR Weather 2,0,50.788033,-104.97285,2026-05-27 06:03:59+00:00,0.0008966664120370369,True,True,SK
151158,1779861786,Goodwater Field Office,0,49.469376,-103.70854,2026-05-27 06:03:06+00:00,0.001510092337962963,True,True,SK
151170,1779861871,CARLYE sk,0,49.638657,-102.27627,2026-05-27 06:04:31+00:00,0.0005262960416666666,True,True,SK
151386,1779861869,Weyburn,0,49.658752,-103.85062,2026-05-27 06:04:29+00:00,0.0005494441898148149,True,True,SK
152072,1779861779,Leisure Centre,0,49.669205,-103.84738,2026-05-27 06:02:59+00:00,0.0015911108564814816,True,True,SK
152154,1779861777,Mosaic Stadium,0,50.451645,-104.63257,2026-05-27 06:02:57+00:00,0.0016142590046296296,True,True,SK
157597,1779861835,Rook I Camp,0,57.652084,-109.27013,2026-05-27 06:03:55+00:00,0.0009429627083333333,True,True,SK
166031,1779861816,Saskatoon Eastview,0,52.090675,-106.61149,2026-05-27 06:03:36+00:00,0.0011628701157407407,True,True,SK
175687,1779861799,AQSU-41A9,0,52.739178,-103.98449,2026-05-27 06:03:19+00:00,0.001359629375,True,True,SK
192963,1779861777,Cypress Hills Prov Park SPSA,0,49.663673,-109.53532,2026-05-27 06:02:57+00:00,0.0016142590046296296,True,True,SK
193091,1779861868,Rams 1,0,50.414425,-104.586845,2026-05-27 06:04:28+00:00,0.0005610182638888889,True,True,SK
193097,1779861783,Mosaic Stadium Sideline,0,50.4512,-104.6333,2026-05-27 06:03:03+00:00,0.0015448145601851852,True,True,SK
193110,1779861855,Mosaic Stadium Upper Level,0,50.44997,-104.63419,2026-05-27 06:04:15+00:00,0.0007114812268518519,True,True,SK
195477,1779861787,Colonsay,0,51.976357,-105.87072,2026-05-27 06:03:07+00:00,0.001498518263888889,True,True,SK
